"Commodity-wise, Market-wise Daily Report on : 01/01/2019 NR : Not Reported",,,,,,,,
,,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Thandla,1.25,Tonnes,NR,Methi,1000,1200,1100,Rs/Quintal
Timarni,0.1,Tonnes,NR,Methi,1500,1500,1500,Rs/Quintal
Maharashtra,,,,,,,,
Amrawati(Frui & Veg. Market),1,Tonnes,NR,Other,1400,1600,1500,Rs/Quintal
Jalgaon,1,Tonnes,NR,Other,1000,2000,1500,Rs/Quintal
Kalmeshwar,2,Tonnes,NR,Other,2255,2500,2375,Rs/Quintal
Kamthi,NR,Tonnes,NR,Other,1200,2500,1900,Rs/Quintal
Khed,700,Tonnes,NR,Other,7,10,8,Rs/Quintal
Maanachar,850,Tonnes,NR,Other,901,1260,1050,Rs/Quintal
Nashik(Devlali),12,Tonnes,NR,Other,400,1100,700,Rs/Quintal
Nasik,23,Tonnes,NR,Other,1000,1800,1500,Rs/Quintal
Pune(Hadapsar),2458,Tonnes,NR,Other,2,6,4,Rs/Quintal
Solapur,1026,Tonnes,NR,Other,250,500,350,Rs/Quintal
NCT of Delhi,,,,,,,,
Azadpur,14.6,Tonnes,NR,Methi,800,1200,1000,Rs/Quintal
Shahdara,4.7,Tonnes,NR,Methi,1000,1200,1100,Rs/Quintal
Punjab,,,,,,,,
F.G.Churian,0.8,Tonnes,NR,Methi,430,450,440,Rs/Quintal
Fazilka (Ladhuka),0.05,Tonnes,NR,Other,450,450,450,Rs/Quintal
Giddarbaha,0.1,Tonnes,NR,Methi,500,600,600,Rs/Quintal
Hoshiarpur(Sham Churasi),0.02,Tonnes,NR,Methi,800,1000,900,Rs/Quintal
Kot ise Khan,1,Tonnes,NR,Other,1000,1200,1100,Rs/Quintal
Mehatpur,0.06,Tonnes,NR,Other,600,800,800,Rs/Quintal
Patti,0.1,Tonnes,NR,Other,300,420,400,Rs/Quintal
Sangrur,0.2,Tonnes,NR,Methi,500,700,700,Rs/Quintal
Sirhind,2,Tonnes,NR,Other,800,800,800,Rs/Quintal
Uttar Pradesh,,,,,,,,
Jhijhank,4,Tonnes,NR,Methi,800,900,850,Rs/Quintal
Mainpuri,2.5,Tonnes,NR,Methi,800,950,900,Rs/Quintal
Mint(Pudina),,,,,,,,
Gujarat,,,,,,,,
Ahmedabad(Rajnagar sub yard),0.6,Tonnes,NR,Other,1200,2500,1900,Rs/Quintal
Dahod(Veg. Market),0.07,Tonnes,NR,Mint(Pudina),2000,4000,3000,Rs/Quintal
Padra,0.1,Tonnes,NR,Other,1500,2000,1750,Rs/Quintal
Maharashtra,,,,,,,,
Nasik,1,Tonnes,NR,Other,100,180,140,Rs/Quintal
Pune,945,Tonnes,NR,Other,2,3,2,Rs/Quintal
Pune(Hadapsar),340,Tonnes,NR,Other,6,6,6,Rs/Quintal
Pune(Khadiki),50,Tonnes,NR,Other,4,4,4,Rs/Quintal
Onion,,,,,,,,
Andhra Pradesh,,,,,,,,
Pattikonda,1,Tonnes,NR,Local,1300,1600,1500,Rs/Quintal
Tadepalligudem,20,Tonnes,NR,Onion,500,650,600,Rs/Quintal
Assam,,,,,,,,
Dhekiajuli,2.2,Tonnes,NR,Other,1600,1700,1700,Rs/Quintal
Howly,320,Tonnes,NR,Onion,1400,1600,1500,Rs/Quintal
Jorhat,70,Tonnes,NR,Onion,1450,1600,1500,Rs/Quintal
P.O. Uparhali Guwahati,24,Tonnes,NR,Onion,1300,1500,1400,Rs/Quintal
Pamohi(Garchuk),150,Tonnes,NR,Onion,800,1500,1400,Rs/Quintal
Chandigarh,,,,,,,,
Chandigarh(Grain/Fruit),120.56,Tonnes,NR,Other,500,1000,750,Rs/Quintal
Chattisgarh,,,,,,,,
Durg,20,Tonnes,NR,Other,800,1000,900,Rs/Quintal
Rajnandgaon,7.5,Tonnes,NR,Onion,800,800,800,Rs/Quintal
Goa,,,,,,,,
Mapusa,4.21,Tonnes,NR,Onion,400,1200,800,Rs/Quintal
Gujarat,,,,,,,,
Ahmedabad(Chimanbhai Patal Market Vasana),451.1,Tonnes,NR,Local,500,900,750,Rs/Quintal
,,,NR,Nasik,400,1000,750,Rs/Quintal
"Anand(Veg,Yard,Anand)",31.73,Tonnes,NR,Onion,350,1000,750,Rs/Quintal
Bharuch,64.36,Tonnes,NR,Other,600,850,700,Rs/Quintal
Bhavnagar,1783,Tonnes,NR,Red,575,945,850,Rs/Quintal
,,,NR,White,740,855,750,Rs/Quintal
Bilimora,2.18,Tonnes,NR,Nasik,500,1250,875,Rs/Quintal
Dahod(Veg. Market),4.2,Tonnes,NR,Onion,250,800,700,Rs/Quintal
Deesa(Deesa Veg Yard),31.5,Tonnes,NR,Other,500,1050,775,Rs/Quintal
Dholka(Koth),50,Tonnes,NR,Other,1000,1300,1200,Rs/Quintal
Khambhat(Veg Yard Khambhat),0.1,Tonnes,NR,Other,300,900,600,Rs/Quintal
Mahuva(Station Road),1085.2,Tonnes,NR,Red,400,905,655,Rs/Quintal
,,,NR,White,5055,5485,5275,Rs/Quintal
Mehsana(Mehsana Veg),60.7,Tonnes,NR,Onion,300,800,500,Rs/Quintal
Morbi,5.8,Tonnes,NR,Onion,200,600,400,Rs/Quintal
Nadiyad(Piplag),13.2,Tonnes,NR,Onion,400,500,450,Rs/Quintal
Padra,2.2,Tonnes,NR,Other,500,1100,850,Rs/Quintal
Rajkot(Ghee Peeth),200,Tonnes,NR,Onion,175,600,500,Rs/Quintal
